feature,shap_abs_mean
dst2src_stddev_ps,0.07982138090179747
src2dst_stddev_ps,0.050702655131599716
src2dst_duration_ms,0.0390411591435792
dst2src_stddev_piat_ms,0.03763422848846297
fe_src2dst_min_over_mean_ps,0.011056104647879858
fe_ack_rate_imbalance,0.01029394759993243
bidirectional_stddev_ps,0.009603038706129018
protocol,0.008712901609914702
fe_bidirectional_piat_burstiness,0.0076571215633601765
dst2src_mean_piat_ms,0.0075945229158565775
bidirectional_mean_piat_ms,0.0026264117375650905
fe_dst2src_ack_rate,0.002548561951641879
bidirectional_min_ps,0.0018692411570027806
fe_packets_per_ms_bi,0.0018073581109306278
application_is_guessed,0.0010324041035294541
fe_dst2src_piat_burstiness,0.0007922372792752169
src2dst_min_ps,0.0007560165395561966
fe_syn_rate_bi,0.00048210850841889593
fe_psh_rate_bi,0.00041636457653253033
fe_src2dst_piat_burstiness,0.00029038899951942517
bidirectional_min_piat_ms,0.000250146467524571
fe_dst2src_psh_rate,0.0001811602750468096
dst2src_min_piat_ms,7.625169718129562e-05
fe_session_rep_req_per_packet,1.1045958244315516e-05
fe_src2dst_psh_rate,9.333468937821242e-06
fe_session_rep_req_resp_imbalance,6.3847176600367995e-06
fe_session_rep_resp_per_packet,2.1823641252890647e-06
fe_src2dst_fin_rate,1.7273186954982958e-06
fe_dst2src_fin_rate,1.0882894173825636e-06
fe_dst2src_syn_rate,4.6660227608153386e-07
fe_fin_rate_bi,4.641449514570937e-07
fe_src2dst_rst_rate,5.3761932887655125e-09
fe_session_mod_req_per_packet,0.0
fe_session_est_req_per_packet,0.0
fe_session_del_resp_per_packet,0.0
fe_session_del_req_resp_imbalance,0.0
fe_session_del_req_per_packet,0.0
fe_session_mod_req_resp_imbalance,0.0
fe_session_mod_resp_per_packet,0.0
ip_version,0.0
