,benign,bruteForce,ddos_tcp_ddos,pfcp_session_deletion,pfcp_session_establishment,pfcp_session_modification
benign,4173,2,6,8,17,6
bruteForce,0,0,0,0,0,0
ddos_tcp_ddos,0,0,0,0,0,0
pfcp_session_deletion,2,0,0,2463,594,0
pfcp_session_establishment,58,0,0,7,1452,1
pfcp_session_modification,33,0,4,134,1069,4316
