round,macro_f1_weighted,macro_precision_weighted,macro_recall_weighted
1,0.5407874696275108,0.5657327661930254,0.6050183978315758
2,0.523953869290567,0.6026137048777483,0.6392316673549897
3,0.5327967689053859,0.48519716607789376,0.6481290714754145
4,0.590367916517086,0.6583785287652113,0.6908158820023295
5,0.6849343689817486,0.7063483927922038,0.736124643977339
6,0.6870700742077634,0.8013888459440464,0.7484921806357062
7,0.7613680638164382,0.814628214215565,0.7912260978581716
8,0.7961300486663074,0.8325076792567898,0.8146606355044015
9,0.7965636804586927,0.8341674611563211,0.8138372200927287
10,0.7649407848860772,0.8210040414858939,0.7888498145058728
11,0.7648799176191896,0.8288762685509979,0.7865715938609056
12,0.757157344683871,0.8189402900005711,0.7865414715427811
13,0.7418609094827975,0.8120004963966748,0.7758804116791931
14,0.7664784851535427,0.8250605026117543,0.7933455317175615
15,0.7910288217809098,0.8396399071998816,0.8100683395894425
16,0.8312926604677646,0.8438510067777438,0.8603639188727843
17,0.858957065476183,0.8636100315174222,0.8834878663390797
18,0.8610952882050591,0.8660049297385911,0.884958079452961
19,0.8632840346327318,0.8683821619382988,0.8866223592917107
20,0.8648102669384738,0.867838536430847,0.8977003636659064
21,0.8679971939136972,0.871338062656254,0.8995200294050675
22,0.869552064804422,0.872495275427019,0.9008695319309585
23,0.8741596789712532,0.8792928949316097,0.9027431143738845
24,0.8748297331322932,0.8785786380860838,0.9043883891069285
25,0.8754339192226396,0.879067957261545,0.9054252657144236
26,0.9073037320086041,0.9094355532055209,0.928148882051508
27,0.9077963150666141,0.9097653653690143,0.9288842146466094
28,0.9082692684446076,0.9093934314802383,0.9296025672593504
29,0.9079571771877848,0.9086787216817923,0.9293398340342549
30,0.9083387971058285,0.9087489295805875,0.9300608624017821
31,0.9076846205234816,0.9079967709583605,0.92964502855987
32,0.9079045615083013,0.9088428761132192,0.9296906881755
33,0.9105671795969739,0.9117932697369894,0.9314322624794941
34,0.9114022039151153,0.9126119559260445,0.931657419778582
35,0.911749429883579,0.913116608749558,0.9315377835285743
36,0.9117867930562963,0.9132096199369584,0.9314034250963316
37,0.9119059896072627,0.9140340985455315,0.9313292154213193
38,0.9121120172798673,0.914528500442961,0.9312968296055351
39,0.9128582871117054,0.9159510156989541,0.9313725342113707
40,0.912359518726489,0.9145082791315905,0.9319329846844623
41,0.9126733525250522,0.9137539368890615,0.9330218739378539
42,0.909990791342783,0.9106340736358461,0.9318234077250065
43,0.9092328069896801,0.9104508155650239,0.9310177753839081
44,0.9089821006981202,0.9099241305940743,0.9310803812003007
45,0.9096719504463221,0.9104734087199118,0.9317278506264525
46,0.91125872365852,0.9121208158799381,0.9322225965972192
47,0.9088478804518342,0.9095450802840973,0.9299437524999317
48,0.9089222637074773,0.9096169841599798,0.9297941717267594
49,0.9091621285303549,0.9090713013250884,0.930150469679075
50,0.910088689314571,0.9099503089434933,0.9310383872389674
