class,support,precision,recall,f1
benign,12636,0.9058797718297499,0.9802943969610636,0.9416191562143671
bruteForce,6156,0.9976339361162752,0.9589018843404808,0.9778845357409095
ddos_tcp_ddos,9007,0.9725281374803341,0.8921949594759632,0.9306311522872032
pfcp_session_deletion,6118,0.9651408450704225,0.8960444589735208,0.92931005255128
pfcp_session_establishment,1518,0.46330567964262925,0.9565217391304348,0.6242476354256234
pfcp_session_modification,5556,0.998380754105945,0.7768178545716342,0.873772649053548
