feature,shap_abs_mean
fe_ack_rate_imbalance,0.051142211565857076
bidirectional_min_ps,0.027901527485981403
fe_bidirectional_piat_burstiness,0.026323448920670234
protocol,0.025763931101272966
src2dst_min_ps,0.020647419587815293
bidirectional_stddev_ps,0.01221828462761205
dst2src_stddev_ps,0.011297791839299359
src2dst_duration_ms,0.007475881623634709
bidirectional_min_piat_ms,0.005926484732754496
application_is_guessed,0.005456598968556548
src2dst_stddev_ps,0.00532292023411485
dst2src_mean_piat_ms,0.004596138783263267
bidirectional_mean_piat_ms,0.0045812384206149115
fe_syn_rate_bi,0.004312999730639664
fe_packets_per_ms_bi,0.004118575120938423
fe_src2dst_min_over_mean_ps,0.0037622212238902202
dst2src_stddev_piat_ms,0.0028676784252447164
fe_dst2src_ack_rate,0.0007687531422542984
fe_session_rep_req_per_packet,0.0006084315940325178
fe_session_rep_req_resp_imbalance,0.0005604482661402155
dst2src_min_piat_ms,0.0002721193749270268
fe_psh_rate_bi,0.0002445204749440471
fe_src2dst_piat_burstiness,0.0002182163360186176
fe_dst2src_psh_rate,7.586016204462488e-05
fe_dst2src_piat_burstiness,4.436444603723788e-05
fe_src2dst_psh_rate,3.80957631256653e-05
fe_fin_rate_bi,8.79424231746344e-06
fe_src2dst_fin_rate,7.014846570113902e-06
fe_dst2src_syn_rate,6.749594597345087e-06
fe_dst2src_fin_rate,3.15453708503801e-06
fe_session_rep_resp_per_packet,2.725351851473833e-06
fe_src2dst_rst_rate,9.077795739777978e-08
fe_session_mod_req_per_packet,0.0
fe_session_est_req_per_packet,0.0
fe_session_del_resp_per_packet,0.0
fe_session_del_req_resp_imbalance,0.0
fe_session_del_req_per_packet,0.0
fe_session_mod_req_resp_imbalance,0.0
fe_session_mod_resp_per_packet,0.0
ip_version,0.0
