feature,shap_abs_mean
fe_ack_rate_imbalance,0.09887421409018547
protocol,0.03286021549110671
fe_syn_rate_bi,0.02430994335197297
application_is_guessed,0.019090009527094377
src2dst_stddev_ps,0.011897121911879733
fe_src2dst_min_over_mean_ps,0.009920069553864335
bidirectional_stddev_ps,0.007877785350898387
bidirectional_min_ps,0.007793776256362219
dst2src_mean_piat_ms,0.006556170739418193
fe_packets_per_ms_bi,0.006256311969998238
dst2src_stddev_ps,0.005813342967578513
src2dst_duration_ms,0.005789618894507669
dst2src_stddev_piat_ms,0.003984724819319121
bidirectional_mean_piat_ms,0.002451183458927898
src2dst_min_ps,0.001981221604187361
fe_session_rep_req_per_packet,0.0013584368718286865
fe_dst2src_ack_rate,0.0012792178626781295
fe_bidirectional_piat_burstiness,0.0009521051454753262
bidirectional_min_piat_ms,0.0006816805467895927
fe_session_rep_req_resp_imbalance,0.0006115080932747848
dst2src_min_piat_ms,0.0003388035632215329
fe_src2dst_piat_burstiness,0.0001726024514592748
fe_dst2src_psh_rate,8.102713611313706e-05
fe_psh_rate_bi,7.088680338878216e-05
fe_dst2src_piat_burstiness,4.983937048885618e-05
fe_src2dst_psh_rate,4.1741561599595494e-05
fe_dst2src_syn_rate,3.87956403023521e-06
fe_dst2src_fin_rate,3.240657698048347e-06
fe_session_rep_resp_per_packet,2.723785452744885e-06
fe_src2dst_fin_rate,1.212352626051901e-06
fe_fin_rate_bi,7.117479623591729e-07
fe_src2dst_rst_rate,7.874715341165172e-09
fe_session_mod_req_per_packet,0.0
fe_session_est_req_per_packet,0.0
fe_session_del_resp_per_packet,0.0
fe_session_del_req_resp_imbalance,0.0
fe_session_del_req_per_packet,0.0
fe_session_mod_req_resp_imbalance,0.0
fe_session_mod_resp_per_packet,0.0
ip_version,0.0
