client,feature,ks_stat
client_2,src2dst_mean_piat_ms,0.15663757836335856
client_2,src2dst_stddev_piat_ms,0.07968586406734102
client_2,src2dst_max_piat_ms,0.08835169655665698
client_2,dst2src_min_piat_ms,0.048790519616592865
client_2,dst2src_mean_piat_ms,0.05937266026144228
client_2,dst2src_stddev_piat_ms,0.03207929248675412
client_2,dst2src_max_piat_ms,0.04649783967647536
client_2,bidirectional_syn_packets,0.10471860576077496
client_2,bidirectional_cwr_packets,0.0
client_2,bidirectional_ece_packets,0.0
client_2,bidirectional_urg_packets,0.0
client_2,bidirectional_ack_packets,0.09787250421895499
client_2,bidirectional_psh_packets,0.07032585714000972
client_2,bidirectional_rst_packets,0.14603756156099956
client_2,bidirectional_fin_packets,0.06871298008201843
client_2,src2dst_syn_packets,0.10471860576077496
client_2,src2dst_cwr_packets,0.0
client_2,src2dst_ece_packets,0.0
client_2,src2dst_urg_packets,0.0
client_2,src2dst_ack_packets,0.07055320719858649
client_2,src2dst_psh_packets,0.05230038048539154
client_2,src2dst_rst_packets,0.001239546752652143
client_2,src2dst_fin_packets,0.04454671552103984
client_2,dst2src_syn_packets,0.022338074506485617
client_2,dst2src_cwr_packets,0.0
client_2,dst2src_ece_packets,0.0
client_2,dst2src_urg_packets,0.0
client_2,dst2src_ack_packets,0.07069281473498035
client_2,dst2src_psh_packets,0.04283822640799284
client_2,dst2src_rst_packets,0.14507722988113525
client_2,dst2src_fin_packets,0.025024019383703133
client_2,application_is_guessed,0.09594975926890892
client_2,application_confidence,0.160712017335854
client_2,udps.heartbeat_request_counter,0.0
client_2,udps.heartbeat_response_counter,0.0
client_2,udps.pfd_management_request_counter,0.0
client_2,udps.pfd_management_response_counter,0.0
client_2,udps.association_setup_request_counter,0.0
client_2,udps.association_setup_response_counter,0.0
client_2,udps.association_update_request_counter,0.0
client_3,id,0.16345941410241038
client_3,expiration_id,0.038903824558395694
client_3,src_port,0.10995287463863435
client_3,dst_port,0.13047751674395586
client_3,protocol,0.0683181036631022
client_3,ip_version,6.411894919344796e-05
client_3,vlan_id,0.0
client_3,tunnel_id,0.06167538001035444
client_3,bidirectional_first_seen_ms,0.3639629376851758
client_3,bidirectional_last_seen_ms,0.3639629376851758
client_3,bidirectional_duration_ms,0.19327612858803617
client_3,bidirectional_packets,0.17393832472206583
client_3,bidirectional_bytes,0.23729227675471465
client_3,src2dst_first_seen_ms,0.3639629376851758
client_3,src2dst_last_seen_ms,0.3639629376851758
client_3,src2dst_duration_ms,0.1907987373903225
client_3,src2dst_packets,0.17664588286776034
client_3,src2dst_bytes,0.2195890450760748
client_3,dst2src_first_seen_ms,0.23766434933653646
client_3,dst2src_last_seen_ms,0.23766434933653646
client_3,dst2src_duration_ms,0.1519087210179939
client_3,dst2src_packets,0.12131215614367952
client_3,dst2src_bytes,0.17709990060267555
client_3,bidirectional_min_ps,0.1472878958524073
client_3,bidirectional_mean_ps,0.22525270090223093
client_3,bidirectional_stddev_ps,0.18975418525038235
client_3,bidirectional_max_ps,0.23238987804228972
client_3,src2dst_min_ps,0.17114652034964906
client_3,src2dst_mean_ps,0.1870321918795455
client_3,src2dst_stddev_ps,0.10644509664883983
client_3,src2dst_max_ps,0.20766241921579193
client_3,dst2src_min_ps,0.14492225380461976
client_3,dst2src_mean_ps,0.15680195039157063
client_3,dst2src_stddev_ps,0.09330710818371002
client_3,dst2src_max_ps,0.16035706323811139
client_3,bidirectional_min_piat_ms,0.027841934632434118
client_3,bidirectional_mean_piat_ms,0.1586539285456085
client_3,bidirectional_stddev_piat_ms,0.17049707929699032
client_3,bidirectional_max_piat_ms,0.18913517097755228
client_3,src2dst_min_piat_ms,0.05638611591054232
client_3,src2dst_mean_piat_ms,0.16633337859480501
client_3,src2dst_stddev_piat_ms,0.17566571641456602
client_3,src2dst_max_piat_ms,0.18791681535552557
client_3,dst2src_min_piat_ms,0.05910779154064827
client_3,dst2src_mean_piat_ms,0.1261592615499224
client_3,dst2src_stddev_piat_ms,0.12108562486412311
client_3,dst2src_max_piat_ms,0.14177863181028538
client_3,bidirectional_syn_packets,0.14190715312168245
client_3,bidirectional_cwr_packets,0.0
client_3,bidirectional_ece_packets,0.0
client_3,bidirectional_urg_packets,0.0
client_3,bidirectional_ack_packets,0.24739091960742965
client_3,bidirectional_psh_packets,0.14720678230927686
client_3,bidirectional_rst_packets,0.16611763675505697
client_3,bidirectional_fin_packets,0.1927294075877528
client_3,src2dst_syn_packets,0.049366117700638035
client_3,src2dst_cwr_packets,0.0
client_3,src2dst_ece_packets,0.0
client_3,src2dst_urg_packets,0.0
client_3,src2dst_ack_packets,0.20263631979470131
client_3,src2dst_psh_packets,0.1271977085187086
client_3,src2dst_rst_packets,0.011689581088347278
client_3,src2dst_fin_packets,0.16130168138301615
