round,macro_f1_weighted,macro_precision_weighted,macro_recall_weighted
1,0.5963947382654701,0.6504031774882465,0.6560275367266617
2,0.5421989467710657,0.6685553149051394,0.647160522965902
3,0.5430474081471895,0.66806859241704,0.6509694479654781
4,0.6672924644726794,0.6901978755095822,0.7327608545766837
5,0.6638114817810583,0.7036364930147045,0.7011858946935496
6,0.7038629608427666,0.6994401710528263,0.7466245233110373
7,0.7123677999109651,0.7132247241408461,0.7472916058553535
8,0.7078996455105496,0.7059376896186584,0.7473487470493044
9,0.713263736069024,0.822842726721418,0.7538731819017387
10,0.7495870647483852,0.8200561969260709,0.7851478090397849
11,0.7686902758132196,0.8263827488484841,0.7971226809068293
12,0.7360398458868823,0.8013196367961295,0.7868239779482503
13,0.750017699320927,0.8037906845424028,0.795961967876089
14,0.8160780991350495,0.8312019491730369,0.845733262793325
15,0.8327339106247389,0.8423820405498599,0.8594164315351505
16,0.8456730490831684,0.8524176423686562,0.870583534480772
17,0.853859615893617,0.8591573149659787,0.8781793676175124
18,0.8700741469898186,0.8759352494094234,0.8908755222063608
19,0.8716825454123595,0.8743870230595959,0.9022261174138113
20,0.8730630170000561,0.8761211331325596,0.9028538630477269
21,0.8748568999316526,0.8776011099815041,0.9055704016810727
22,0.9058441537531134,0.9071687937403592,0.9271724549990331
23,0.90593551356743,0.907525615668637,0.9273022534393354
24,0.9056843059266054,0.9074203313698136,0.9269732564275437
25,0.9056857876649387,0.9074769635227895,0.926991368017746
26,0.9050644953161043,0.9063157756028764,0.9269637331779015
27,0.9043653099600135,0.9056792466240653,0.9255745829561347
28,0.906965908352847,0.9083639720688019,0.9273965615089141
29,0.9065121716597898,0.9081333892334266,0.9263263479498793
30,0.9072617155919495,0.9088597478417532,0.92684959527162
31,0.9066476401967023,0.9082696420970332,0.9260606584138744
32,0.9085551877907347,0.9101249857150036,0.9287613047332102
33,0.9089670397903559,0.9103548514745641,0.9290800356749916
34,0.9087481165160121,0.9100063325365911,0.9290634692903538
35,0.9088192053742772,0.9090557122808214,0.929699781373422
36,0.9085294399934329,0.9086293955044005,0.9294898195158804
37,0.9081077584759821,0.9081408167418483,0.9292117746483712
38,0.9080121558426898,0.9086318427921597,0.9290564169566771
39,0.9085004464547628,0.909021275334037,0.929629504107307
40,0.9095815179364029,0.9102211991348952,0.9301789332424525
41,0.9097793645932284,0.9103692423457161,0.9301832758312173
42,0.9091551616668238,0.9095860500404708,0.9293614310453898
43,0.9078990926976203,0.9080823737557626,0.9276146910375378
44,0.9076354935594375,0.908183977467514,0.927267658217063
45,0.9053831435059664,0.9062059296343404,0.9253219671690733
46,0.9046479456264657,0.9056939358268025,0.9245479414972908
47,0.9053317255058505,0.9061431678048397,0.9259651517329056
48,0.9060113705910974,0.9061060614930828,0.9271575014889615
49,0.9079295050514291,0.9076700262564067,0.9300539630141214
50,0.9075010088542601,0.9069569697980081,0.9292477398919697
