,benign,bruteForce,ddos_tcp_ddos,pfcp_session_deletion,pfcp_session_establishment,pfcp_session_modification
benign,4202,5,0,4,0,1
bruteForce,261,5881,12,2,0,0
ddos_tcp_ddos,0,0,0,0,0,0
pfcp_session_deletion,0,0,0,0,0,0
pfcp_session_establishment,0,0,0,0,0,0
pfcp_session_modification,0,0,0,0,0,0
