,benign,bruteForce,ddos_tcp_ddos,pfcp_session_deletion,pfcp_session_establishment,pfcp_session_modification
benign,4041,0,171,0,0,0
bruteForce,0,0,0,0,0,0
ddos_tcp_ddos,1028,2,7972,1,4,0
pfcp_session_deletion,55,0,2,3001,1,0
pfcp_session_establishment,0,0,0,0,0,0
pfcp_session_modification,0,0,0,0,0,0
