class,support,precision,recall,f1
benign,12636,0.8959174841315638,0.9829851218740108,0.9374339622641509
bruteForce,6156,0.9988111413043478,0.9553281351526965,0.976585851876453
ddos_tcp_ddos,9007,0.9766017395565356,0.8850893749306096,0.9285963890506699
pfcp_session_deletion,6118,0.9687887923390672,0.892938868911409,0.9293187037509568
pfcp_session_establishment,1518,0.4625,0.950592885375494,0.6222509702457956
pfcp_session_modification,5556,0.9986101459346769,0.7759179265658748,0.8732907930720146
