round,macro_f1_weighted,macro_precision_weighted,macro_recall_weighted
1,0.6076872877416243,0.6437119968375392,0.6381361860174557
2,0.4929555263044478,0.47176876360474357,0.6141059498946891
3,0.47980417562370287,0.4578866780107806,0.6148798260243761
4,0.49660141171007405,0.45893374058030906,0.6270562874876313
5,0.586502403626223,0.5687638779959082,0.6908744893217693
6,0.686674786696164,0.7086715818422242,0.7382601589570212
7,0.762123418758755,0.86466911781706,0.7729931595010504
8,0.7810187139242012,0.867496262931035,0.7878842450044878
9,0.75451450390929,0.8695914170868938,0.7604015065685268
10,0.7823919034817397,0.884851169030023,0.7787589041092897
11,0.8115094503584341,0.9002151169170841,0.7994307505614373
12,0.7952231579651323,0.8900178154672597,0.7879056486368573
13,0.8005027253061321,0.8784536546251887,0.8022717572299123
14,0.8027517087558773,0.8752901613064455,0.808374351409788
15,0.8509145579680095,0.890729326370916,0.8655433457533379
16,0.8517837515437404,0.8902848038320961,0.8667268582608175
17,0.8619492140663775,0.8663869669092523,0.8855355211621315
18,0.8641747014083153,0.8685276213018478,0.8874468174970729
19,0.8659184129419767,0.8672608882554222,0.897473652859876
20,0.8713048310812954,0.8737575163732086,0.9003911168477781
21,0.8729348474472761,0.8755877187050282,0.9015687332257873
22,0.8712429312210607,0.8737099754909594,0.9009036186874207
23,0.870887580608566,0.873642011790124,0.9005026735351742
24,0.870610288526244,0.8732815016267477,0.9002331571837635
25,0.8706211036015387,0.8731681793835276,0.9002721907305221
26,0.8706770796364868,0.8733303749822793,0.9001239416161363
27,0.8704627389688314,0.8728841262778737,0.900069851049014
28,0.8694164415831769,0.8718055986097826,0.8993503474185277
29,0.8714822585826721,0.8738051646717199,0.9011993849232813
30,0.8721785739224528,0.8747547472022491,0.90162506903367
31,0.9043969046790701,0.9040952705740357,0.9247308925998331
32,0.9055341560428543,0.9054588718363471,0.9257514545938225
33,0.9091637752388236,0.9093707727317774,0.928553091543206
34,0.9101644091465464,0.9104711540871611,0.930054830107776
35,0.9105462481292227,0.9107638675362606,0.9304323177297926
36,0.9106223015672843,0.9107396183020546,0.930517086824877
37,0.9099354931206105,0.9098561949211722,0.9295802745981004
38,0.9093644806357636,0.909210904673399,0.9289683022178782
39,0.9091088340940571,0.9088940722617349,0.9288720003334082
40,0.9096761022031228,0.9092270119052108,0.9298964011692242
41,0.8763001626103105,0.879029415021916,0.9062771338275142
42,0.8757798775612902,0.8785404196620274,0.9058963311608597
43,0.875022524794947,0.8773252902010952,0.9052909510480331
44,0.871771869469743,0.8726334210193527,0.9036599162755495
45,0.8724684515199272,0.8737730798614726,0.9039956255959289
46,0.9041127174893687,0.9027534262726457,0.9264766771056093
47,0.9086748837430142,0.9085993686065186,0.9293803634063216
48,0.9092872867419102,0.9092954554884796,0.9297718451810305
49,0.9103448612004392,0.910222731153022,0.9316391342825128
50,0.9113409127470862,0.9113120474925115,0.9329157432726644
