,benign,bruteForce,ddos_tcp_ddos,pfcp_session_deletion,pfcp_session_establishment,pfcp_session_modification
benign,4110,0,0,102,0,0
bruteForce,6139,0,0,17,0,0
ddos_tcp_ddos,0,0,0,0,0,0
pfcp_session_deletion,0,0,0,0,0,0
pfcp_session_establishment,0,0,0,0,0,0
pfcp_session_modification,0,0,0,0,0,0
