feature,shap_abs_mean
bidirectional_stddev_ps,0.1787875709844423
fe_ack_rate_imbalance,0.03568891798439066
fe_packets_per_ms_bi,0.02052164607226527
application_is_guessed,0.01192210234414044
src2dst_stddev_ps,0.009462368209587903
fe_syn_rate_bi,0.008405037208897239
dst2src_mean_piat_ms,0.008226595780129006
fe_src2dst_min_over_mean_ps,0.007983910068271398
src2dst_duration_ms,0.0072875356852156676
dst2src_stddev_ps,0.00645800443582539
protocol,0.004717941835463718
dst2src_stddev_piat_ms,0.0038701041662701115
bidirectional_min_ps,0.002936934457850643
src2dst_min_ps,0.0018922840755449723
bidirectional_mean_piat_ms,0.0018588486498301372
fe_dst2src_ack_rate,0.00155450729407486
fe_bidirectional_piat_burstiness,0.0015491521002912337
bidirectional_min_piat_ms,0.0006519881398140106
dst2src_min_piat_ms,0.0004342082818129146
fe_src2dst_piat_burstiness,0.0001744111336100931
fe_dst2src_piat_burstiness,0.00010968343038965187
fe_dst2src_psh_rate,8.929095338048753e-05
fe_session_rep_req_resp_imbalance,3.787933388814554e-05
fe_psh_rate_bi,3.4320024783313e-05
fe_session_rep_req_per_packet,1.7594202330819726e-05
fe_src2dst_psh_rate,3.907853463568309e-06
fe_session_rep_resp_per_packet,3.6007544223451646e-06
fe_dst2src_syn_rate,2.185004292827981e-06
fe_src2dst_fin_rate,1.3831617252650357e-06
fe_dst2src_fin_rate,1.2377829858858769e-06
fe_fin_rate_bi,1.0988632337107012e-06
fe_src2dst_rst_rate,2.522536504658664e-07
fe_session_mod_req_per_packet,0.0
fe_session_est_req_per_packet,0.0
fe_session_del_resp_per_packet,0.0
fe_session_del_req_resp_imbalance,0.0
fe_session_del_req_per_packet,0.0
fe_session_mod_req_resp_imbalance,0.0
fe_session_mod_resp_per_packet,0.0
ip_version,0.0
