class,support,precision,recall,f1
benign,12636,0.8975321114157887,0.9843304843304843,0.9389295689590096
bruteForce,6156,0.997168082625354,0.9723846653671215,0.9846204457603421
ddos_tcp_ddos,9007,0.9784382994274576,0.8917508604418786,0.9330855018587361
pfcp_session_deletion,6118,0.7837526959022286,0.8909774436090225,0.8339325327009867
pfcp_session_establishment,1518,0.4568144499178982,0.9163372859025033,0.6096866096866097
pfcp_session_modification,5556,0.9993153029784321,0.525377969762419,0.6886870355078448
