round,macro_f1_weighted,macro_precision_weighted,macro_recall_weighted
1,0.5706983108154405,0.6874969926160077,0.6179217536234284
2,0.6139748695337013,0.6589908086559767,0.7071742828361138
3,0.5214350607613809,0.5159245694938811,0.6538499037972908
4,0.5244488080401719,0.605906702456194,0.6560561482841238
5,0.6502337288290733,0.647208861891414,0.7356990891786771
6,0.6979720351552156,0.7236098809960324,0.7384495921110494
7,0.7469498039272955,0.8690530743476192,0.7600754741169001
8,0.7837403989081696,0.8698670223200345,0.7881816770840444
9,0.8298788683918212,0.8714203800365661,0.8466925540088683
10,0.8390912492287909,0.8785174175273596,0.8535563289170385
11,0.8582871086513029,0.8641292485521189,0.8810244210273624
12,0.8374483323711344,0.8486894670247929,0.866421987423306
13,0.8341384366912639,0.8469455206409394,0.8650419510385744
14,0.835827756355624,0.8477498351333373,0.8668397669879658
15,0.8616574160815837,0.8664567165421887,0.8855696094322741
16,0.8663087771831667,0.8705437663649844,0.888850836046659
17,0.8657939849577997,0.8695450029415025,0.8882600822739718
18,0.8696411244225128,0.8745078731699716,0.8898976836533983
19,0.8736870415722956,0.8760291415825618,0.9025327559302018
20,0.8749584681458333,0.8772527855175734,0.9040547477780402
21,0.8780320001144255,0.8800510401098751,0.9060897738947536
22,0.8784831187313925,0.880558567269862,0.9060921243841606
23,0.8788732587027116,0.8809436914064304,0.9062876731995227
24,0.8791700694285332,0.8813660610411634,0.9065990859876547
25,0.87916922063969,0.8816615739104897,0.9065803765644787
26,0.8787675150383557,0.8805960971227951,0.9072149870151343
27,0.8794092470032947,0.881532749363322,0.9081275379467915
28,0.8785585678968456,0.8807819555849957,0.9070787480046212
29,0.8782772511966008,0.8804760997673919,0.9070116060645859
30,0.8785134691290255,0.8803448958564346,0.9079468375656341
31,0.9082363344309327,0.9088756353768342,0.9284156784887461
32,0.9088290984274269,0.9095248817434449,0.9288299946880213
33,0.9097993243893712,0.9106412648502062,0.9294190933248708
34,0.9099370062089838,0.9108276529837921,0.9293783969985882
35,0.9088793407885182,0.9099641236485256,0.9275360623200168
36,0.9089415472139206,0.9099889914302542,0.9274445744137321
37,0.90852107569805,0.9097148837178803,0.9269917297475468
38,0.9087733593859993,0.9099183235157329,0.9272359793095506
39,0.9100977672965184,0.9111484357864416,0.929272993890606
40,0.9099826633213436,0.9108440246491847,0.9293558422945097
41,0.9100403134585727,0.9104139865041021,0.9293717684713514
42,0.9070980873999172,0.9015182248969504,0.9199432509119836
43,0.9069684334298043,0.9013748378109333,0.9199896572613454
44,0.9072149911060495,0.9015662810357831,0.9204301306267326
45,0.9074854812716543,0.9017920795645112,0.920931395539318
46,0.8799091941276158,0.8847802673435325,0.8998045348557572
47,0.8799055943616216,0.8820509708909663,0.909571244885465
48,0.8802964891074394,0.8821896687378719,0.9104690305947181
49,0.8800268073455028,0.8816996925082321,0.9101606609376751
50,0.8784200910731517,0.8802030274862862,0.9075788954982255
