,benign,bruteForce,ddos_slowloris,ddos_tcp_ddos,pfcp_session_deletion,pfcp_session_establishment,pfcp_session_modification
src2dst_rst_packets,97.340930674264,100.0,100.0,97.31530211178469,100.0,100.0,100.0
src2dst_fin_packets,77.83475783475784,100.0,100.0,56.16103746141719,100.0,100.0,100.0
dst2src_syn_packets,76.5289648622982,100.0,100.0,63.289143516976445,100.0,100.0,100.0
dst2src_cwr_packets,100.0,100.0,100.0,100.0,100.0,100.0,100.0
dst2src_ece_packets,100.0,100.0,100.0,100.0,100.0,100.0,100.0
dst2src_urg_packets,100.0,100.0,100.0,100.0,100.0,100.0,100.0
dst2src_ack_packets,69.55365622032289,62.937812723373845,62.91706053285719,28.665645193524746,100.0,100.0,100.0
dst2src_psh_packets,76.17758784425452,100.0,100.0,84.53800546266072,100.0,100.0,100.0
dst2src_rst_packets,95.10921177587845,44.42133991812334,44.403599061723206,99.01183576488353,100.0,100.0,100.0
dst2src_fin_packets,78.23361823361823,100.0,100.0,64.27064597073257,100.0,100.0,100.0
application_is_guessed,70.86419753086419,62.950809019429464,44.403599061723206,38.238625008327226,100.0,100.0,100.0
application_confidence,23.129154795821464,49.31769445707973,30.479991597521266,19.239224568649657,73.69900627615063,98.43173431734317,73.14614830813535
udps.heartbeat_request_counter,100.0,100.0,100.0,100.0,100.0,100.0,100.0
udps.heartbeat_response_counter,100.0,100.0,100.0,100.0,100.0,100.0,100.0
udps.pfd_management_request_counter,100.0,100.0,100.0,100.0,100.0,100.0,100.0
udps.pfd_management_response_counter,100.0,100.0,100.0,100.0,100.0,100.0,100.0
udps.association_setup_request_counter,100.0,100.0,100.0,100.0,100.0,100.0,100.0
udps.association_setup_response_counter,100.0,100.0,100.0,100.0,100.0,100.0,100.0
udps.association_update_request_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.association_update_response_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.association_release_request_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.association_release_response_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.version_not_supported_response_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.node_report_request_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.node_report_response_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.session_set_deletion_request_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.session_set_deletion_response_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.session_establishment_request_counter,100.0,100.0,100.0,99.99777940621321,100.0,53.479177648919354,100.0
udps.session_establishment_response_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.session_modification_request_counter,100.0,100.0,100.0,99.91561743610241,100.0,100.0,74.1036717062635
udps.session_modification_response_counter,100.0,100.0,100.0,99.91339684231563,100.0,100.0,74.11447084233261
udps.session_deletion_request_counter,100.0,100.0,100.0,99.99777940621321,73.00601464435147,100.0,100.0
udps.session_deletion_response_counter,100.0,100.0,100.0,99.99777940621321,74.55543933054393,100.0,100.0
udps.session_report_request_counter,92.41215574548907,98.50542595360322,98.64860133739452,92.33451024804033,97.2541841004184,95.2161307327359,97.2066234701224
udps.session_report_response_counter,96.70465337132003,98.09604262785106,98.49455589398872,91.03990407034841,97.2737970711297,95.18977332630469,97.21382289416847
label,0.0,0.0,0.0,7.132547243132814,0.0,0.0,0.0
