,benign,bruteForce,ddos_tcp_ddos,pfcp_session_deletion,pfcp_session_establishment,pfcp_session_modification
benign,4162,2,4,11,33,0
bruteForce,0,0,0,0,0,0
ddos_tcp_ddos,0,0,0,0,0,0
pfcp_session_deletion,3,0,0,2463,593,0
pfcp_session_establishment,29,0,2,7,1480,0
pfcp_session_modification,36,2,2,1491,1065,2960
