,benign,bruteForce,ddos_tcp_ddos,pfcp_session_deletion,pfcp_session_establishment,pfcp_session_modification
benign,4038,0,0,174,0,0
bruteForce,4870,0,0,1272,0,14
ddos_tcp_ddos,0,0,0,0,0,0
pfcp_session_deletion,0,0,0,0,0,0
pfcp_session_establishment,0,0,0,0,0,0
pfcp_session_modification,0,0,0,0,0,0
