,benign,bruteForce,ddos_tcp_ddos,pfcp_session_deletion,pfcp_session_establishment,pfcp_session_modification
benign,11648,0,1,987,0,0
bruteForce,4870,0,0,1272,0,14
ddos_tcp_ddos,6376,0,908,1611,0,112
pfcp_session_deletion,397,0,0,5431,0,290
pfcp_session_establishment,105,0,3,1054,0,356
pfcp_session_modification,199,0,0,4860,0,497
