class,support,precision,recall,f1
benign,12636,0.899090515374621,0.9857549857549858,0.9404303510758777
bruteForce,6156,0.9973351099267155,0.9727095516569201,0.9848684210526315
ddos_tcp_ddos,9007,0.9823992010984895,0.8737648495614522,0.9249030438359384
pfcp_session_deletion,6118,0.9630546225914796,0.890487087283426,0.9253503184713376
pfcp_session_establishment,1518,0.46455696202531643,0.9670619235836627,0.6276186404446344
pfcp_session_modification,5556,0.9995354239256679,0.7744780417566595,0.872730960348849
