round,macro_f1_weighted,macro_precision_weighted,macro_recall_weighted
1,0.45027119313663583,0.6611039544150367,0.5095050586909409
2,0.5188201113060388,0.5564456264780044,0.6406788492475558
3,0.5869555515817257,0.6579595820324311,0.6891686735257704
4,0.5938028733252071,0.6615794492941064,0.6929528473694712
5,0.6893319771108112,0.7131167100667651,0.7345019349415406
6,0.7125460700826234,0.7476410131162058,0.7263567552025061
7,0.7460726599347908,0.8754146839979967,0.7451530326941738
8,0.7459831442656745,0.876003339432179,0.7442309643487878
9,0.7835722054846117,0.8819845925085291,0.7729179970929415
10,0.8200331202014729,0.8984123922095388,0.8032813463714873
11,0.8553116689669172,0.8654719052273979,0.8746425982472585
12,0.8571383280751066,0.8993394007662125,0.866716684718464
13,0.8196884771868971,0.8522099905791564,0.832535730782608
14,0.8319720546590149,0.8620801351637857,0.8417280734506709
15,0.8321709273529316,0.8622649526581232,0.841765876671473
16,0.8346914463618382,0.8644543174068477,0.8436638939311804
17,0.8585182720841722,0.8649446787301315,0.8809504037111584
18,0.8660461046219936,0.870739445872914,0.8945014643570707
19,0.8671888671978567,0.8718573616405655,0.8953153522042063
20,0.8712434637800469,0.8766225967416802,0.8989864663797178
21,0.8717834655599149,0.8767653906404383,0.8999793350577563
22,0.8719255099340172,0.8764160283079777,0.9004955544674785
23,0.8715258602797697,0.8750831246856189,0.9010095139021215
24,0.8703168510995852,0.8724563641083426,0.9014154988217542
25,0.8702264880136427,0.8725092145819627,0.9015358110820205
26,0.8719976314067123,0.8739450398555904,0.9030197198112127
27,0.901222683973208,0.9015964311514935,0.9230080957049906
28,0.9069611885291301,0.9084720746374957,0.9267494211567826
29,0.9074860635342942,0.9089860418602606,0.9266100047170055
30,0.9093745318737729,0.91103958868195,0.9288570570705237
31,0.9095772664397178,0.9115091070223458,0.928789370002282
32,0.9099428446247371,0.9118773176593027,0.9291065219276947
33,0.9099430521386046,0.9123051181685573,0.9283677034853794
34,0.9105424569031229,0.9126799372480541,0.9292741077642954
35,0.9104086552243662,0.9118810386420944,0.9304273827376003
36,0.909716049706168,0.911066864103693,0.9300852895833779
37,0.9095892315520524,0.910613977988066,0.930133679195975
38,0.910074323518776,0.9101652635413974,0.9311934623617223
39,0.9101138331621057,0.9100901922505973,0.9315387333332774
40,0.9101814564596178,0.9099442911337045,0.9321298619223709
41,0.90782702116997,0.9075289454964335,0.9302492306940472
42,0.9081622362507153,0.9081353265252754,0.9302548573370533
43,0.9104092795918103,0.9104156638381491,0.9318326308396963
44,0.9131926597571947,0.9133441597842309,0.9338514754644588
45,0.9134618903663481,0.9137806972875506,0.933800553976042
46,0.9127072124886044,0.9132591274002865,0.9326226182713252
47,0.9125392241641256,0.9130748792769505,0.9325741216413971
48,0.9128345917558647,0.9131110129338073,0.9334379536656393
49,0.9094685911213312,0.9096784323247903,0.9314012758535987
50,0.9090380640249347,0.9088874595294614,0.9318396500472494
