,benign,bruteForce,ddos_tcp_ddos,pfcp_session_deletion,pfcp_session_establishment,pfcp_session_modification
benign,4099,0,112,1,0,0
bruteForce,0,0,0,0,0,0
ddos_tcp_ddos,1116,3,7870,16,2,0
pfcp_session_deletion,72,0,2,2983,2,0
pfcp_session_establishment,0,0,0,0,0,0
pfcp_session_modification,0,0,0,0,0,0
