,benign,bruteForce,ddos_tcp_ddos,pfcp_session_deletion,pfcp_session_establishment,pfcp_session_modification
benign,3168,13,0,560,0,471
bruteForce,0,0,0,0,0,0
ddos_tcp_ddos,1708,856,0,3704,19,2720
pfcp_session_deletion,7,0,0,3019,0,33
pfcp_session_establishment,0,0,0,0,0,0
pfcp_session_modification,0,0,0,0,0,0
