round,macro_f1_weighted,macro_precision_weighted,macro_recall_weighted
1,0.4285952813236441,0.49208096160600984,0.5542309336537621
2,0.511360229328954,0.5684520897713061,0.6258489842997966
3,0.538091522884812,0.5857374024565557,0.646773391447141
4,0.5566019389427324,0.6906790108519874,0.6501456074187544
5,0.6784781214010818,0.7062226121888104,0.7295271103145748
6,0.711423934001555,0.747375898536006,0.7276540328310773
7,0.7099975183407898,0.7476728667167307,0.723891160873089
8,0.7190397007521316,0.7561170534387595,0.7280022796862212
9,0.7242235622914078,0.7594760297660894,0.7333696386760732
10,0.7237441834513298,0.7574441106878129,0.7348155168930658
11,0.7160276854541044,0.7431612799435044,0.7432824648541856
12,0.7291848270163742,0.7642208485177522,0.744803174152557
13,0.7300237318521425,0.7653311905728062,0.745711630054183
14,0.754488968461414,0.8951737734795939,0.759333262420601
15,0.8160904612969277,0.8976064313034073,0.8095653227518572
16,0.8207120976497427,0.9012089671311379,0.8125024922546663
17,0.8220940241785871,0.902322506398685,0.8134819739453781
18,0.8442060094278172,0.9041903245218058,0.8397722527909368
19,0.8550811735931095,0.9083288933918515,0.852908542046236
20,0.8671870644112617,0.8743207586572734,0.8845096801160232
21,0.8705745795447817,0.8735801523933644,0.8982162816744196
22,0.871110823683529,0.8740001887259244,0.899008559012357
23,0.871851203919147,0.8746092101164749,0.9007882467473893
24,0.8717586106570033,0.874421487501588,0.9010309481026035
25,0.8719826402813561,0.8738345045475773,0.9022347386460704
26,0.8720278306606484,0.8736881769696299,0.90247637129266
27,0.8733449465891945,0.8746792013859286,0.9039583439240472
28,0.8739872757306979,0.8751882373860094,0.9044893645310625
29,0.878640305090625,0.8811613577986503,0.9073236892963878
30,0.9109148424241241,0.9114753428989236,0.9307672044382428
31,0.9114411596579053,0.9121640495325635,0.931512324723541
32,0.911909144067762,0.9121359885140328,0.9320855603047661
33,0.9116396577229693,0.9119347369863511,0.9316652506977298
34,0.9118995729051701,0.9129413878545236,0.9309606889255562
35,0.9125861659800628,0.9134783010473478,0.9318253798522289
36,0.9122976811390534,0.9130508706514918,0.9315324638470723
37,0.9107160186756307,0.9119722258603139,0.9306509652908581
38,0.9060363867528892,0.9016002552111884,0.9202383069238441
39,0.9026020165580603,0.89835854014147,0.9179552666666495
40,0.9014100567788828,0.8973204755208886,0.9172009041883868
41,0.8979255446441023,0.9213341623625201,0.9046075582875934
42,0.898588766475227,0.9226926490559252,0.9048767012692042
43,0.9003062681819501,0.9242343900287768,0.9063259863046851
44,0.9033300436783549,0.9272091610111374,0.908352062244175
45,0.9040335335675272,0.9278715947751832,0.9087919474037528
46,0.9037064271291262,0.9277044733087138,0.9083032722823559
47,0.9037815417679852,0.9267979274724234,0.9083994472447822
48,0.9037417822992878,0.9269526421069898,0.9080373896392602
49,0.8785883369194976,0.9158378915396391,0.8867652420208372
50,0.8794877106197069,0.9175149025111067,0.8875925396151016
