feature,importance
cat__application_name_TargusDataspeed,0.0005226168184906683
cat__src_mac_8a:e9:f6:36:d0:2f,0.0004959444698394974
num__dst2src_min_piat_ms,0.000495641617454243
cat__application_name_HTTP,0.00042047751270776084
cat__src_ip_10.100.200.7,0.0003914616703849831
cat__src_mac_92:09:81:1d:ae:5f,0.0003673051449256553
cat__src_oui_12:c0:51,0.00035302085653669645
cat__dst_oui_66:38:d9,0.00031292186704089516
cat__src_oui_02:9e:14,0.00031220923182426175
cat__dst_oui_62:ff:a9,0.0003103652252310559
cat__dst_mac_06:a3:db:64:0b:c9,0.00028407027592622337
cat__dst_mac_66:38:d9:4c:c1:f4,0.00028149216737619065
cat__dst_ip_10.100.200.19,0.00027141557817274113
cat__src_mac_be:83:16:5d:11:08,0.0002571435200383495
cat__src_mac_12:c0:51:ce:89:d3,0.00025306565023052076
cat__src_ip_10.60.0.9,0.000249736643713946
num__dst2src_fin_packets,0.00021967410630950015
cat__dst_mac_62:ff:a9:97:98:3d,0.00020975942213769455
cat__src_oui_92:09:81,0.00020586425950013174
cat__src_oui_be:83:16,0.00019690681886698504
cat__src_mac_02:9e:14:fb:53:a0,0.00019393628263979042
cat__dst_ip_10.100.200.20,0.00018718821727996032
cat__src_ip_10.100.200.16,0.0001830091854473979
cat__dst_oui_06:a3:db,0.00016596827903938083
cat__dst_ip_10.100.200.6,0.00015609812458353123
cat__src_ip_10.100.200.2,0.0001510961856371769
cat__src_mac_66:38:d9:4c:c1:f4,0.00012544923016216176
cat__dst_oui_42:bf:1e,0.00012336020922880424
cat__src_oui_66:38:d9,0.00011927024102537425
cat__dst_mac_42:bf:1e:9b:18:3d,0.00011920563681651755
cat__requested_server_name_10.100.200.4,0.00011506075556294718
cat__src_ip_10.100.200.19,0.0001123474470331692
cat__dst_mac_ae:80:0f:33:fc:b4,0.00011056993012715274
cat__src_ip_10.70.0.6,9.550711155222086e-05
cat__src_ip_10.61.0.1,9.14152897697335e-05
cat__src_ip_10.60.0.3,8.793452394043026e-05
cat__dst_oui_5e:fe:d9,8.769515221910344e-05
cat__src_ip_10.70.0.7,8.386777743327902e-05
cat__src_ip_10.70.0.3,8.208601071960623e-05
cat__src_ip_10.70.0.1,8.183299208105711e-05
cat__src_ip_10.60.0.4,8.022876892330555e-05
cat__src_oui_06:a3:db,7.748315773202977e-05
cat__dst_mac_92:09:81:1d:ae:5f,7.399350941946224e-05
cat__src_oui_42:bf:1e,7.316794957932928e-05
