feature,chi2,p_value
cat__dst_ip_23.207.180.175,37.80977976918819,1.2237563575697866e-06
cat__requested_server_name_www.chase.com,37.80977976918819,1.2237563575697866e-06
cat__application_name_TLS.Amazon,37.80977976918819,1.2237563575697866e-06
cat__requested_server_name_www.capitalone.com,37.80977976918819,1.2237563575697866e-06
cat__dst_ip_23.220.193.3,37.80977976918819,1.2237563575697866e-06
cat__requested_server_name_tiktok.com,37.80977976918819,1.2237563575697866e-06
cat__dst_ip_23.65.124.98,37.80977976918819,1.2237563575697866e-06
cat__dst_ip_108.159.76.221,37.80977976918819,1.2237563575697866e-06
cat__requested_server_name_slack.com,37.80977976918819,1.2237563575697866e-06
cat__requested_server_name_www.deviantart.com,37.80977976918819,1.2237563575697866e-06
cat__dst_ip_18.172.64.101,37.80977976918819,1.2237563575697866e-06
cat__requested_server_name_yahoo.com,37.80977976918819,1.2237563575697866e-06
cat__requested_server_name_chase.com,37.80977976918819,1.2237563575697866e-06
cat__dst_ip_199.232.104.81,37.80977976918819,1.2237563575697866e-06
cat__requested_server_name_www.yahoo.com,37.80977976918819,1.2237563575697866e-06
cat__requested_server_name_www.tiktok.com,37.80977976918819,1.2237563575697866e-06
cat__requested_server_name_www.sohu.com,37.80977976918819,1.2237563575697866e-06
cat__application_name_TLS.Slack,37.80977976918819,1.2237563575697866e-06
cat__dst_ip_23.48.49.100,37.80977976918819,1.2237563575697866e-06
cat__dst_ip_163.171.219.14,37.80977976918819,1.2237563575697866e-06
cat__application_name_TLS.Yahoo,37.80977976918819,1.2237563575697866e-06
cat__dst_ip_151.101.193.55,37.80977976918819,1.2237563575697866e-06
cat__dst_ip_49.44.144.18,37.80977976918819,1.2237563575697866e-06
cat__application_name_TLS.YouTube,37.80977976918819,1.2237563575697866e-06
cat__dst_ip_199.232.208.194,37.80977976918819,1.2237563575697866e-06
cat__requested_server_name_deviantart.com,37.80977976918819,1.2237563575697866e-06
cat__dst_ip_171.159.228.150,37.80977976918819,1.2237563575697866e-06
cat__dst_ip_204.63.40.34,37.80977976918819,1.2237563575697866e-06
cat__requested_server_name_capitalone.com,37.80977976918819,1.2237563575697866e-06
cat__src_oui_f6:0d:74,37.699556744634755,1.2859599169510697e-06
cat__dst_mac_a2:48:1d:a7:11:28,37.699556744634755,1.2859599169510697e-06
cat__dst_ip_10.100.200.23,37.699556744634755,1.2859599169510697e-06
cat__src_mac_f6:0d:74:3f:08:66,37.699556744634755,1.2859599169510697e-06
cat__src_ip_10.100.200.25,37.699556744634755,1.2859599169510697e-06
cat__dst_oui_a2:48:1d,37.699556744634755,1.2859599169510697e-06
cat__dst_mac_f6:0d:74:3f:08:66,37.39688410889622,1.473402328347156e-06
cat__dst_ip_10.100.200.25,37.39688410889622,1.473402328347156e-06
cat__src_mac_32:dc:f9:a8:7c:d7,37.39688410889622,1.473402328347156e-06
cat__dst_oui_f6:0d:74,37.39688410889622,1.473402328347156e-06
cat__src_oui_32:dc:f9,37.39688410889622,1.473402328347156e-06
cat__dst_ip_151.101.129.55,36.56180620984171,2.143364684507584e-06
cat__dst_ip_151.101.66.137,34.28041301164866,5.93847766212979e-06
cat__requested_server_name_washingtonpost.com,34.28041301164866,5.93847766212979e-06
cat__dst_ip_23.65.124.96,34.28041301164866,5.93847766212979e-06
cat__requested_server_name_techcrunch.com,34.28041301164866,5.93847766212979e-06
cat__src_ip_10.100.200.216,33.39437298647938,8.80373520769637e-06
cat__application_name_TLS.Hulu,33.088598566814674,1.0082142655412432e-05
cat__dst_ip_208.82.238.145,33.088598566814674,1.0082142655412432e-05
cat__dst_ip_47.246.173.30,33.088598566814674,1.0082142655412432e-05
cat__dst_ip_208.82.238.1,33.088598566814674,1.0082142655412432e-05
cat__requested_server_name_www.rottentomatoes.com,31.582988401101858,1.961225248661407e-05
cat__server_fingerprint_389ed42c02ebecc32e73aa31def07e14,31.582988401101858,1.961225248661407e-05
cat__requested_server_name_www.tumblr.com,31.582988401101858,1.961225248661407e-05
cat__dst_ip_65.8.86.30,31.582988401101858,1.961225248661407e-05
cat__dst_ip_3.223.64.55,31.582988401101858,1.961225248661407e-05
cat__dst_ip_69.48.216.7,31.582988401101858,1.961225248661407e-05
cat__requested_server_name_rottentomatoes.com,31.582988401101858,1.961225248661407e-05
cat__requested_server_name_paypal.com,31.582988401101858,1.961225248661407e-05
cat__requested_server_name_iith.ac.in,31.582988401101858,1.961225248661407e-05
cat__requested_server_name_archive.org,31.582988401101858,1.961225248661407e-05
cat__dst_ip_172.64.155.249,31.582988401101858,1.961225248661407e-05
cat__requested_server_name_sohu.com,31.582988401101858,1.961225248661407e-05
cat__requested_server_name_tumblr.com,31.582988401101858,1.961225248661407e-05
cat__dst_ip_151.101.128.81,31.582988401101858,1.961225248661407e-05
cat__dst_ip_207.241.224.2,31.582988401101858,1.961225248661407e-05
cat__dst_ip_192.168.36.56,31.582988401101858,1.961225248661407e-05
cat__requested_server_name_stackoverflow.com,31.582988401101858,1.961225248661407e-05
cat__dst_ip_128.116.54.4,31.582988401101858,1.961225248661407e-05
cat__src_ip_23.48.236.211,29.446913580250182,5.006141810785178e-05
cat__requested_server_name_www.twitch.tv,29.446913580250182,5.006141810785178e-05
cat__requested_server_name_flickr.com,29.446913580250182,5.006141810785178e-05
cat__requested_server_name_www.npr.org,29.446913580250182,5.006141810785178e-05
cat__requested_server_name_hbo.com,29.446913580250182,5.006141810785178e-05
cat__requested_server_name_homedepot.com,29.446913580250182,5.006141810785178e-05
cat__requested_server_name_huffpost.com,29.446913580250182,5.006141810785178e-05
cat__dst_ip_151.101.130.28,29.446913580250182,5.006141810785178e-05
cat__requested_server_name_www.huffpost.com,29.446913580250182,5.006141810785178e-05
cat__dst_ip_151.101.2.114,29.446913580250182,5.006141810785178e-05
cat__dst_ip_108.158.46.37,29.446913580250182,5.006141810785178e-05
cat__requested_server_name_ebay.com,29.446913580250182,5.006141810785178e-05
cat__dst_ip_52.98.59.18,29.446913580250182,5.006141810785178e-05
cat__dst_ip_44.193.31.197,29.446913580250182,5.006141810785178e-05
cat__dst_ip_54.155.246.232,29.446913580250182,5.006141810785178e-05
cat__src_ip_104.91.33.167,29.446913580250182,5.006141810785178e-05
cat__dst_ip_162.159.130.67,29.446913580250182,5.006141810785178e-05
cat__dst_ip_87.240.132.67,29.446913580250182,5.006141810785178e-05
cat__dst_ip_8.134.50.24,29.446913580250182,5.006141810785178e-05
cat__dst_ip_54.74.73.31,29.446913580250182,5.006141810785178e-05
cat__application_name_TLS.eBay,29.446913580250182,5.006141810785178e-05
cat__dst_ip_76.223.84.192,29.446913580250182,5.006141810785178e-05
cat__dst_ip_59.82.133.133,29.446913580250182,5.006141810785178e-05
cat__dst_ip_18.239.153.119,29.446913580250182,5.006141810785178e-05
cat__application_category_name_Shopping,29.446913580250182,5.006141810785178e-05
cat__requested_server_name_www.homedepot.com,29.446913580250182,5.006141810785178e-05
