feature,chi2,p_value
cat__src_mac_b6:f0:40:2c:43:18,4174.100000000463,0.0
cat__src_oui_b6:f0:40,4174.100000000463,0.0
cat__src_ip_10.100.200.7,4039.6646903381015,0.0
cat__src_mac_12:c0:51:ce:89:d3,4039.6646903381015,0.0
cat__src_oui_12:c0:51,4039.6646903381015,0.0
cat__dst_oui_ae:80:0f,4026.607693970808,0.0
cat__dst_mac_ae:80:0f:33:fc:b4,4026.607693970808,0.0
cat__src_ip_10.60.0.7,3801.8267831620788,0.0
cat__dst_ip_10.100.200.10,3776.5666666670863,0.0
cat__dst_ip_10.70.0.3,3652.8456291082102,0.0
cat__dst_ip_10.70.0.2,3647.995094279804,0.0
cat__dst_ip_10.100.200.20,3642.494097578714,0.0
cat__dst_ip_10.70.0.8,3641.3697470938614,0.0
cat__dst_ip_10.70.0.5,3633.504119800914,0.0
cat__dst_ip_10.70.0.10,3626.485261793442,0.0
cat__dst_ip_10.70.0.4,3622.002163039878,0.0
cat__dst_ip_10.70.0.7,3621.3512548500375,0.0
cat__dst_ip_10.70.0.9,3617.4986683923535,0.0
cat__dst_ip_10.70.0.6,3607.935453348239,0.0
cat__dst_oui_62:ff:a9,3481.377656409042,0.0
cat__dst_mac_62:ff:a9:97:98:3d,3481.377656409042,0.0
cat__application_name_FTP_CONTROL,3421.361373336813,0.0
cat__dst_mac_02:9e:14:fb:53:a0,3320.333580466305,0.0
cat__dst_ip_10.100.200.16,3320.333580466305,0.0
cat__dst_oui_02:9e:14,3320.333580466305,0.0
cat__src_ip_10.61.0.9,3086.099864133048,0.0
cat__src_oui_06:a3:db,3035.981908628273,0.0
cat__src_mac_06:a3:db:64:0b:c9,3035.981908628273,0.0
cat__src_ip_10.61.0.1,2936.236369147419,0.0
cat__src_ip_10.60.0.4,2915.7217230549563,0.0
cat__src_ip_10.61.0.8,2677.713761589958,0.0
cat__src_oui_02:9e:14,2464.360129646961,0.0
cat__src_mac_02:9e:14:fb:53:a0,2464.360129646961,0.0
cat__src_ip_10.100.200.16,2464.360129646961,0.0
cat__dst_oui_66:38:d9,2425.4290887742295,0.0
cat__dst_ip_10.100.200.19,2425.4290887742295,0.0
cat__dst_mac_66:38:d9:4c:c1:f4,2425.4290887742295,0.0
cat__src_ip_10.61.0.7,2290.9478378042436,0.0
cat__src_ip_10.61.0.3,2285.739012151724,0.0
cat__server_fingerprint_f4febc55ea12b31ae17cfb7e614afda8,2177.9271483054663,0.0
cat__src_ip_10.61.0.6,2162.7394195750617,0.0
cat__dst_oui_ae:15:49,2009.7518518520749,0.0
cat__dst_mac_ae:15:49:da:42:8a,2009.7518518520749,0.0
cat__dst_mac_0e:ff:83:28:10:66,1656.3888888890729,0.0
cat__dst_oui_0e:ff:83,1656.3888888890729,0.0
cat__dst_ip_104.108.227.243,1656.352120972481,0.0
cat__requested_server_name_10.100.200.2,1530.8815757333145,0.0
cat__src_oui_66:38:d9,1504.219713040799,0.0
cat__src_ip_10.100.200.19,1504.219713040799,0.0
cat__src_mac_66:38:d9:4c:c1:f4,1504.219713040799,0.0
cat__src_ip_10.60.0.2,1499.2054028617397,0.0
cat__dst_ip_10.70.0.1,1442.6931835903372,1.3791697924035113e-308
cat__dst_ip_128.116.50.3,1408.8460520531096,2.943316813216582e-301
cat__requested_server_name_www.adobe.com,1221.9744826017834,8.395923828071294e-261
cat__src_ip_10.60.0.5,1134.1811320621719,8.384997507355802e-242
cat__server_fingerprint_907bf3ecef1c987c889946b737b43de8,1113.4892448443359,2.5160822646190116e-237
cat__dst_ip_162.125.248.18,1094.986403624204,2.5353476556481646e-233
cat__dst_ip_10.60.0.3,1053.5801274897156,2.300785741411429e-224
cat__dst_ip_23.38.57.156,1030.6419753087564,2.107413917382808e-219
cat__src_oui_42:bf:1e,883.4074074075056,1.4511669410537532e-187
cat__src_mac_42:bf:1e:9b:18:3d,883.4074074075056,1.4511669410537532e-187
cat__dst_ip_106.10.248.151,849.0626779346996,3.847845219281412e-180
cat__dst_ip_106.10.236.137,848.2570188927259,5.745682146914244e-180
cat__dst_ip_192.0.78.9,839.833303620043,3.8008429891553674e-178
cat__dst_ip_18.66.41.104,815.2860828854446,7.665444368837756e-173
cat__dst_ip_192.0.78.17,802.639307260881,4.141943151427969e-170
cat__src_ip_10.60.0.8,801.6786502524724,6.679908801935757e-170
cat__src_ip_10.61.0.4,793.3125099290156,4.28909478140574e-168
cat__dst_ip_10.60.0.9,792.3840798083154,6.807021546717615e-168
cat__dst_ip_18.66.41.74,770.0552802512337,4.5376420702425274e-163
cat__dst_ip_157.240.23.174,763.2584468660982,1.333716037345228e-161
cat__dst_ip_18.66.41.90,763.0667546377604,1.467138825918079e-161
cat__dst_ip_10.100.200.18,759.488358006099,8.69837384141762e-161
cat__dst_ip_18.66.41.57,718.1066540874936,7.530578966491239e-152
cat__dst_ip_52.84.150.60,706.7259259260043,2.1591617980466068e-149
cat__dst_ip_23.12.226.5,661.6442871168191,1.1656099307459642e-139
cat__dst_ip_52.84.150.39,633.1086419753789,1.6780911100504762e-133
cat__src_ip_10.100.200.20,630.1003197268908,7.480668838233813e-133
cat__dst_ip_52.84.150.54,618.385185185254,2.5211608517147827e-130
cat__dst_ip_52.84.150.55,618.385185185254,2.5211608517147827e-130
cat__src_mac_62:ff:a9:97:98:3d,614.6646010573829,1.600627922831624e-129
cat__src_oui_62:ff:a9,614.6646010573829,1.600627922831624e-129
cat__dst_ip_10.60.0.5,581.9304788012073,1.8409394264431957e-122
cat__dst_ip_184.28.173.51,581.2104212467061,2.632244855802011e-122
cat__dst_ip_10.60.0.4,553.9865229866748,1.951637573761991e-116
cat__src_ip_10.61.0.2,517.7434535579115,1.2645384484324787e-108
cat__requested_server_name_www.washingtonpost.com,508.95670947849226,9.888710265443019e-107
cat__dst_ip_54.239.28.85,475.2237746438016,1.8231830947254434e-99
