feature,shap_abs_mean
fe_ack_rate_imbalance,0.04846954878347093
bidirectional_mean_piat_ms,0.04316134882012406
fe_src2dst_min_over_mean_ps,0.02620666829087384
bidirectional_min_ps,0.01951034598792398
protocol,0.014557882175327996
application_is_guessed,0.013874453730244452
fe_packets_per_ms_bi,0.01322860106340439
src2dst_stddev_ps,0.010781612588754668
fe_bidirectional_piat_burstiness,0.010377951592749495
fe_dst2src_ack_rate,0.010166725088228598
fe_src2dst_piat_burstiness,0.009710280605517376
dst2src_stddev_ps,0.009684861996165294
src2dst_min_ps,0.0077557325934817034
src2dst_duration_ms,0.00553877323718508
bidirectional_stddev_ps,0.004920282574641423
dst2src_mean_piat_ms,0.0034125400169608532
dst2src_stddev_piat_ms,0.0022018797979616524
fe_syn_rate_bi,0.0015471416346132365
fe_dst2src_fin_rate,0.001529800747992963
fe_src2dst_fin_rate,0.0014589062461986505
fe_session_rep_req_resp_imbalance,0.0008896747627264707
fe_session_rep_req_per_packet,0.0007747834509976349
fe_fin_rate_bi,0.0006497414935038312
bidirectional_min_piat_ms,0.0005883215610870841
dst2src_min_piat_ms,0.0001157789388681911
fe_dst2src_piat_burstiness,6.42172308503068e-05
fe_dst2src_psh_rate,4.571990979543733e-05
fe_psh_rate_bi,3.9626568751320796e-05
fe_src2dst_psh_rate,3.365528810076488e-05
fe_dst2src_syn_rate,1.034224942558034e-05
fe_session_rep_resp_per_packet,6.506491063191337e-06
fe_src2dst_rst_rate,1.623593854892374e-07
fe_session_mod_req_per_packet,0.0
fe_session_est_req_per_packet,0.0
fe_session_del_resp_per_packet,0.0
fe_session_del_req_resp_imbalance,0.0
fe_session_del_req_per_packet,0.0
fe_session_mod_req_resp_imbalance,0.0
fe_session_mod_resp_per_packet,0.0
ip_version,0.0
